NODO;"DIVIPOLA
MUNICIPIO";DEPARTAMENTO/MUNICIPIO;DEPARTAMENTO;MUNICIPIO;ZONA;CODIGO_DANE_ESTABLECIMIENTO;NOMBRE_ESTABLECIMIENTO;CODIGO_DANE_SEDE;NOMBRE_SEDE;FOCALIZACION
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;105001000477;SECCION ESCUELA REPUBLICA DE COSTA RICA;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;105001008231;SECCION ESCUELA LA COLINA;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001000396;INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;105001015105;SECCION ESCUELA GABRIELA MISTRAL;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001001236;INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;105001001236;INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA;LITERATURA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001002038;INSTITUCION EDUCATIVA JOSE EUSEBIO CARO;105001002038;INSTITUCION EDUCATIVA JOSE EUSEBIO CARO;LITERATURA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001008249;INSTITUCION EDUCATIVA BELLO HORIZONTE;105001008249;INSTITUCION EDUCATIVA BELLO HORIZONTE;MÚSICA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001010588;INSTITUCION EDUCATIVA FE Y ALEGRIA LA CIMA;105001000078;SECCION ESCUELA LA CIMA SAN JOSE;DANZA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001010588;INSTITUCION EDUCATIVA FE Y ALEGRIA LA CIMA;105001005860;SECCION ESCUELA FE Y ALEGRIA NO. 3;DANZA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001010588;INSTITUCION EDUCATIVA FE Y ALEGRIA LA CIMA;105001010588;INSTITUCION EDUCATIVA FE Y ALEGRIA LA CIMA;DANZA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001013340;INSTITUCION EDUCATIVA INEM JOSE FELIX DE RESTREPO;105001000272;SECCION ESCUELA GUILLERMO ECHAVARRIA MISAS;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001013340;INSTITUCION EDUCATIVA INEM JOSE FELIX DE RESTREPO;105001013340;INSTITUCION EDUCATIVA INEM JOSE FELIX DE RESTREPO;AUDIOVISUALES
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001015172;INSTITUCION EDUCATIVA EDUARDO SANTOS;105001006530;SECCION ESCUELA  PEDRO J GOMEZ;MÚSICA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001015172;INSTITUCION EDUCATIVA EDUARDO SANTOS;105001015172;INSTITUCION EDUCATIVA EDUARDO SANTOS;MÚSICA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001021873;INSTITUCION EDUCATIVA SOL DE ORIENTE;105001016462;SECCION ESCUELA BEATO DOMINGO ITURRATE;LITERATURA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;105001021873;INSTITUCION EDUCATIVA SOL DE ORIENTE;105001021873;INSTITUCION EDUCATIVA SOL DE ORIENTE;LITERATURA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088000532;INSTITUCION EDUCATIVA LA MILAGROSA;105088000532;INSTITUCION EDUCATIVA LA MILAGROSA;TEATRO
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088001971;INSTITUCION EDUCATIVA JOSEFA CAMPOS;105088001733;ESC URB FE Y ALEGRIA NO 2;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088001971;INSTITUCION EDUCATIVA JOSEFA CAMPOS;105088001971;INSTITUCION EDUCATIVA JOSEFA CAMPOS;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088002918;INSTITUCION EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS;105088000176;ESC URB MACHADO;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088002918;INSTITUCION EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS;105088000397;ESC URB FONTIDUEÑO;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088002918;INSTITUCION EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS;105088002918;INSTITUCION EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;105088002918;INSTITUCION EDUCATIVA FONTIDUEÑO JAIME ARANGO ROJAS;105088003175;I.E.  DE TRABAJO SAN JOSE - SEDE PRINCIPAL;MÚSICA
1;05380;05380-ANTIOQUIA-LA ESTRELLA;ANTIOQUIA;LA ESTRELLA;URBANO;105380000063;I. E. BERNARDO ARANGO MACIAS;105380000063;I. E. BERNARDO ARANGO MACIAS;MÚSICA
1;05380;05380-ANTIOQUIA-LA ESTRELLA;ANTIOQUIA;LA ESTRELLA;URBANO;105380000063;I. E. BERNARDO ARANGO MACIAS;205380019567;RAFAEL POMBO;MÚSICA
1;05380;05380-ANTIOQUIA-LA ESTRELLA;ANTIOQUIA;LA ESTRELLA;URBANO;105380000063;I. E. BERNARDO ARANGO MACIAS;205380019575;MANUELA BELTRAN;MÚSICA
1;05380;05380-ANTIOQUIA-LA ESTRELLA;ANTIOQUIA;LA ESTRELLA;URBANO;105380000527;I. E. CONCEJO MUNICIPAL;105380000527;I. E. CONCEJO MUNICIPAL;MÚSICA
1;05631;05631-ANTIOQUIA-SABANETA;ANTIOQUIA;SABANETA;URBANO;105631000084;I. E. JOSE FELIX DE RESTREPO VELEZ;105631000084;I. E. JOSE FELIX DE RESTREPO VELEZ;MÚSICA
1;05001;05001-ANTIOQUIA-MEDELLÍN;ANTIOQUIA;MEDELLÍN;URBANO;205001006232;INSTITUCION EDUCATIVA SAN CRISTOBAL;205001006232;INSTITUCION EDUCATIVA SAN CRISTOBAL;LITERATURA
1;05631;05631-ANTIOQUIA-SABANETA;ANTIOQUIA;SABANETA;RURAL;205631000020;I. E. PRIMITIVO LEAL LA DOCTORA;205631000020;COLEGIO LA DOCTORA;TEATRO
1;05631;05631-ANTIOQUIA-SABANETA;ANTIOQUIA;SABANETA;RURAL;205631000020;I. E. PRIMITIVO LEAL LA DOCTORA;205631000186;E R LAS LOMITAS (UNIT);TEATRO
1;05631;05631-ANTIOQUIA-SABANETA;ANTIOQUIA;SABANETA;RURAL;205631000267;I. E. PRESBITERO ANTONIO BAENA SALAZAR;205631000267;I. E. PRESBITERO ANTONIO BAENA SALAZAR;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;305088002950;INSTITUCION EDUCATIVA LICEO ANTIOQUEÑO;105088001938;ESC URB DE VARONES AVENIDAS;MÚSICA
1;05088;05088-ANTIOQUIA-BELLO;ANTIOQUIA;BELLO;URBANO;305088002950;INSTITUCION EDUCATIVA LICEO ANTIOQUEÑO;305088002950;INSTITUCION EDUCATIVA LICEO NTIOQUEÑO;MÚSICA
